toi,toipfx,pl_pnum,ra,dec,st_pmra,st_pmraerr1,st_pmdec,pl_orbper,pl_orbpererr1,pl_trandurh,pl_trandurherr1,pl_trandep,pl_trandeperr1,pl_rade,pl_radeerr1,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_dist,st_disterr1,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_rad,st_raderr1,st_logg_missing,st_teff_missing,tfopwg_disp_CP,tfopwg_disp_FA,tfopwg_disp_FP,tfopwg_disp_KP,tfopwg_disp_PC,rastr_01h34m22.42s,rastr_03h41m50.17s,rastr_10h06m26.93s,decstr_-30d27m14.82s
1047.01,1047,1,144.581535,-67.505097,-35.412,0.104,24.084,0.62627,2e-05,0.666,0.169,1880.0,68.5212,5.72162,0.894462,3235.57,2101.0,10.2355,0.006,134.926,1.0555,5622.0,131.2,-131.2,4.5,0.07,0.93,0.05,0,0,False,False,True,False,False,False,False,False,False
1048.01,1048,1,136.527702,-54.903922,-10.863,0.096,7.063,0.30412,1e-05,0.748,0.1,1330.0,3.83107,10.417,0.668057,280833.0,6413.0,8.802,0.006,440.426,9.484,11892.0,235.8,-235.8,4.14,0.07,2.52,0.09,0,0,False,False,True,False,False,False,False,False,False
1049.01,1049,1,253.768848,-28.710584,-8.568,0.1,-5.562,2.1805277,2.7e-06,2.969175,0.040721,16340.13532,426.89557,16.808853,0.8821375,1770.465054,1654.404068,11.0657,0.006,314.995,7.0655,6599.0,200.0,-200.0,4.21017,1.96411,1.2714601,0.0635578,0,0,False,False,False,True,False,False,False,False,False
105.01,105,1,337.457824,-48.003099,91.976,0.052,-6.861,2.1846669,5e-07,2.86528,0.0090748,11708.02285,34.928566,13.7028527,0.6619751,1362.138143,1549.44098,9.4995,0.006,137.544,0.7905,5630.0,-999.0,-999.0,4.37759,-999.0,1.23824,0.0596985,0,0,False,False,False,True,False,False,False,False,False
1050.01,1050,1,239.962248,-28.061794,-8.1,0.102,-9.639,3.7354838,2.1e-06,4.142,0.045,17030.0,0.271732,21.2315,1.19579,1292.19,1670.0,11.0261,0.006,405.908,8.6,6650.0,-999.0,-999.0,4.1639,-999.0,1.57,0.09,0,0,False,False,False,True,False,False,False,False,False
1051.01,1051,1,40.365939,-71.462749,168.17,2.0,-56.04,21.701669,0.0095323,8.2676424,0.5088978,211.6567325,25.132692,2.3751494,0.6983451,52.095,685.2,7.1278,0.006,53.19149,4.31375,5625.0,80.0,-80.0,4.438,-999.0,1.56486,0.186629,0,0,False,True,False,False,False,False,False,False,False
1052.01,1052,1,337.510274,-75.646561,-63.327,0.046,-1.942,9.139804,0.0001109,3.0912936,0.6627002,358.4157801,33.721474,3.0629855,2.8175755,243.011763,1006.993283,9.0197,0.006,129.804,0.5575,5958.2,76.0,-76.0,4.34,0.12,1.58,0.165123,0,0,True,False,False,False,False,False,False,False,False
1053.01,1053,1,290.977117,-33.351416,-18.692,0.065,-8.192,5.742625,0.000621,2.860293,0.230499,1105.760867,87.92673,13.088532,3.636668,363.901,1183.0137325,8.8849,0.006,263.729,2.8735,5664.0,188.0,-188.0,3.26574,0.355261,3.86959,0.644568,0,0,False,False,True,False,False,False,False,False,False
1054.01,1054,1,302.114174,-54.317501,1.594,0.054,-15.903,15.5077855,0.0002372,4.565,0.427,513.0,25.4443,2.43432,0.142957,88.0718,853.0,8.4362,0.006,88.4343,0.28175,6122.0,194.0,-194.0,4.30881,0.268555,1.17,0.05,0,0,True,False,False,False,False,False,False,False,False
1055.01,1055,1,293.286615,-54.532728,108.439,0.074,-82.632,17.4713078,1.76e-05,4.4284819,0.0990118,1199.754148,28.872627,3.5766828,0.2409907,53.3700317,689.3568807,8.0888,0.006,57.2651,0.18695,5783.54,7.82429,-7.82429,4.49925,0.019231,0.974669,0.0546984,0,0,True,False,False,False,False,False,False,False,False
1056.01,1056,1,339.258703,-76.917605,9.716,0.041,-20.168,5.3079507,1.91e-05,3.2158594,0.2920944,391.3830934,26.766296,3.0486928,0.3630359,603.2401116,1263.986113,9.6663,0.006,168.354,0.6765,6124.3,83.0,-83.0,4.38,0.16,1.36963,0.0633668,0,0,False,False,False,False,True,False,False,False,False
