koi_disposition,koi_period,koi_prad,koi_sma,koi_teq,koi_impact,koi_duration,koi_depth,koi_slogg,koi_srad,koi_kepmag,koi_smass,planet_star_radius_ratio,transit_depth,koi_max_sngle_ev,koi_max_mult_ev,kepoi_name,kepler_name,koi_dor,koi_parm_prov,koi_ror,koi_srho,koi_fittype,koi_datalink_dvr,koi_period_err1,koi_period_err2,koi_depth_err1,koi_depth_err2,koi_ror_err1,koi_ror_err2,koi_num_transits,detection_confidence,period_precision,depth_precision,is_grazing_transit,planets_in_system,is_multi_planet_system,physical_realism_score,detection_quality_score
CONFIRMED,91.773285,2.12,0.3764,359.0,0.606,6.473,652.0,4.56,0.798,15.082,0.844,0.024350518,592.9477671370844,6.9461374,14.678595,K00759.02,Kepler-230 c,89.4,q1_q17_dr25_koi,0.02432,1.60558,LS+MCMC,011/011018/011018648/dv/kplr011018648-20160209194854_dvr.pdf,0.000752,-0.000752,36.2,-36.2,0.00705,-0.00122,11.0,10.8123662,122038.94281914894,18.011049723756905,0,2747.0,1,4.0,2.887532349241166
CONFIRMED,4.959319,12.21,0.0565,1103.0,0.831,2.22739,9800.0,4.359,1.082,15.263,0.976,0.10343408,10698.60873984841,58.764744,670.4895,K00760.01,Kepler-1976 b,12.386,q1_q17_dr25_koi,0.103379,1.46169,LS+MCMC,011/011138/011138155/dv/kplr011138155-20160209194854_dvr.pdf,5.15e-07,-5.15e-07,20.0,-20.0,0.00125,-7.4e-05,269.0,364.627122,9629745.63106796,490.0,0,2747.0,1,1.0,9.864337591777828
FALSE POSITIVE,2.7012877,6.54,0.0365,1222.0,1.016,3.3827,860.0,4.468,0.91,15.54,0.889,0.06587363,4339.335315119029,5.044661,39.745068,K00761.01,UNVETTED,2.22,q1_q17_dr25_koi,0.06584,0.02818,LS+MCMC,011/011152/011152159/dv/kplr011152159-20160209194854_dvr.pdf,5.63e-06,-5.63e-06,20.9,-20.9,3.76,-0.0321,387.0,22.3948645,479802.4333925399,41.14832535885168,1,1.0,0,1.0,6.559073479937772
CONFIRMED,4.498765,2.1,0.0542,1133.0,0.312,3.7362,460.0,4.486,0.969,15.395,1.048,0.019864187,394.585874495882,4.435833,26.501581,K00762.01,Kepler-666 b,8.95,q1_q17_dr25_koi,0.019817,0.67106,LS+MCMC,011/011153/011153539/dv/kplr011153539-20160209194854_dvr.pdf,1.78e-05,-1.78e-05,17.5,-17.5,0.000458,-0.000789,238.0,15.468707,252739.60674157302,26.285714285714285,0,2747.0,1,2.0,5.961786949830643
FALSE POSITIVE,19.651209,12.42,0.1433,730.0,0.723,5.2514,11800.0,4.391,1.063,15.536,1.014,0.10709362,11469.04248369466,85.46643,509.4985,K00763.01,UNVETTED,23.98,q1_q17_dr25_koi,0.106953,0.67559,LS+MCMC,011/011242/011242721/dv/kplr011242721-20160209194854_dvr.pdf,5.86e-06,-5.86e-06,27.7,-27.7,0.000536,-5.1e-05,59.0,297.482465,3353448.634812287,425.99277978339353,0,1.0,0,2.0,7.674845922613428
CONFIRMED,5.412204,2.94,0.0591,1093.0,0.787,2.9472,602.0,4.339,1.087,12.791,0.941,0.024790943,614.5908234838207,46.475086,163.47614,K00115.01,Kepler-105 b,9.25,q1_q17_dr25_koi,0.024775,0.51087,LS+MCMC,009/009579/009579641/dv/kplr009579641-20160209194854_dvr.pdf,3.05e-06,-3.05e-06,4.0,-4.0,6e-05,-0.00189,244.0,104.975613,1774493.1147540985,150.5,0,2747.0,1,2.0,7.053072903039669
CONFIRMED,41.439587,5.5,0.2288,516.0,0.355,10.5989,2790.0,4.367,1.046,15.4,0.93,0.048195474,2322.8036978534305,27.788597,124.52492,K00764.01,Kepler-667 b,29.47,q1_q17_dr25_koi,0.048175,0.28189,LS+MCMC,011/011304/011304958/dv/kplr011304958-20160209194854_dvr.pdf,7.56e-05,-7.56e-05,22.6,-22.6,0.000284,-0.00108,33.0,76.1567585,548142.6851851853,123.45132743362831,0,2747.0,1,2.0,4.770319579131952
CONFIRMED,8.353895,2.52,0.0768,790.0,0.023,2.2514,1040.0,4.582,0.787,15.317,0.862,0.029349525,861.3945420510875,5.6967807,36.34974,K00765.01,Kepler-668 b,29.18,q1_q17_dr25_koi,0.029305,6.73215,LS+MCMC,011/011391/011391957/dv/kplr011391957-20160209194854_dvr.pdf,1.52e-05,-1.52e-05,28.2,-28.2,0.000955,-0.000532,127.0,21.023260349999997,549598.3552631579,36.87943262411348,0,2747.0,1,3.0,5.425703696415777
CONFIRMED,4.1255436,4.43,0.0529,1243.0,0.597,3.1744,1490.0,4.417,1.103,15.506,1.162,0.036813192,1355.2110258975626,9.387555,94.70979,K00766.01,Kepler-669 b,8.45,q1_q17_dr25_koi,0.036796,0.67162,LS+MCMC,011/011403/011403044/dv/kplr011403044-20160209194854_dvr.pdf,3.13e-06,-3.13e-06,13.3,-13.3,0.00263,-0.00128,323.0,52.0486725,1318065.0479233228,112.03007518796991,0,2747.0,1,1.0,6.773995634332937
CONFIRMED,2.816505,12.21,0.0383,1219.0,0.105,2.50587,16800.0,4.452,0.955,15.052,0.941,0.117189184,13733.305576437371,104.64681,1328.3038,K00767.01,Kepler-670 b,9.571,q1_q17_dr25_koi,0.117059,2.09079,LS+MCMC,011/011414/011414511/dv/kplr011414511-20160209194854_dvr.pdf,1.65e-07,-1.65e-07,11.0,-11.0,0.00183,-0.000297,474.0,716.4753049999999,17069727.27272727,1527.2727272727273,0,2747.0,1,1.0,14.018943331966161
FALSE POSITIVE,33.933735,7.34,0.1881,430.0,0.812,14.561,8500.0,4.628,0.705,15.716,0.782,0.0954294,9106.770345401885,52.86124,193.4089,K00768.01,UNVETTED,13.12,q1_q17_dr25_koi,0.095386,0.0371,LS+MCMC,011/011442/011442465/dv/kplr011442465-20160209194854_dvr.pdf,6.15e-05,-6.15e-05,44.3,-44.3,0.000555,-0.000616,31.0,123.13507,551768.0487804877,191.87358916478556,0,1.0,0,2.0,5.223290102388927
CONFIRMED,3.6899202,1.89,0.0469,1147.0,0.151,2.6557,427.0,4.518,0.917,15.242,1.01,0.018891556,356.8908682537736,4.8750124,31.786789,K00786.01,Kepler-680 b,10.71,q1_q17_dr25_koi,0.018878,1.70798,LS+MCMC,012/012110/012110942/dv/kplr012110942-20160209194854_dvr.pdf,8.98e-06,-8.98e-06,13.8,-13.8,0.000671,-0.00037,360.0,18.3309007,410904.2538975501,30.942028985507246,0,2747.0,1,3.0,6.418579231900435
CONFIRMED,4.4312387,3.25,0.0529,1104.0,0.405,3.15,1010.0,4.428,1.015,15.367,1.007,0.02934895,861.3608652146361,6.815371,58.259056,K00787.01,Kepler-232 b,10.19,q1_q17_dr25_koi,0.02933,1.01996,LS+MCMC,012/012366/012366084/dv/kplr012366084-20160209194854_dvr.pdf,6.11e-06,-6.11e-06,15.2,-15.2,0.000228,-0.000889,302.0,32.5372135,725243.6497545008,66.44736842105263,0,2747.0,1,2.0,6.4602396971731375
CONFIRMED,11.37937,3.95,0.0993,806.0,0.911,2.6255,1020.0,4.428,1.015,15.367,1.007,0.03567026,1272.367611788058,5.2506146,29.930164,K00787.02,Kepler-232 c,16.31,q1_q17_dr25_koi,0.035628,0.63438,LS+MCMC,012/012366/012366084/dv/kplr012366084-20160209194854_dvr.pdf,2.42e-05,-2.42e-05,29.7,-29.7,0.000101,-0.00609,109.0,17.590389300000002,470221.9008264463,34.343434343434346,1,2747.0,1,2.0,5.232895523015727
CONFIRMED,26.39433,3.07,0.1635,489.0,0.602,3.573,1510.0,4.595,0.763,15.234,0.846,0.036879845,1360.1229660823192,8.917681,41.269753,K00788.01,Kepler-681 b,47.7,q1_q17_dr25_koi,0.03681,2.93923,LS+MCMC,012/012404/012404086/dv/kplr012404086-20160209194854_dvr.pdf,5.72e-05,-5.72e-05,36.3,-36.3,0.0042,-0.0019,51.0,25.093717,461439.33566433564,41.59779614325069,0,2747.0,1,3.0,4.577361140402485
CONFIRMED,13.570783,2.64,0.1096,785.0,0.866,3.3539,512.0,4.406,1.012,12.882,0.951,0.023911051,571.7383546970066,18.771214,76.76887,K00116.01,Kepler-106 c,16.93,q1_q17_dr25_koi,0.023908,0.49865,LS+MCMC,008/008395/008395660/dv/kplr008395660-20160209194854_dvr.pdf,1.59e-05,-1.59e-05,6.3,-6.3,0.000413,-0.00263,101.0,47.770042000000004,853508.3647798742,81.26984126984127,0,2747.0,1,3.0,5.543673692464088
