pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_rade,pl_masse,pl_dens,st_teff,st_logg,st_mass,st_rad,st_lum,sy_dist,sy_vmag,sy_kmag,pl_st_radius_ratio,pl_st_mass_ratio,pl_eqt,pl_escape_velocity,pl_stellar_flux,pl_hill_radius,pl_transit_probability,disposition,default_flag,tran_flag,ttv_flag,pl_controv_flag,discoverymethod
K2-237 b,K2-237,2.1805577,0.0352999999999999,0.0,84.6,3.952528555205605,23.47122490645296,2.8398477360961696,6099.0,4.27,1.23,1.38,2.0638013397072563,314.995,11.602,10.217,0.0262525309528926,5.731348828913088e-05,1681.9719915591058,27.258036287946968,131.79793785925816,0.0009436694619799,0.1818030764872522,CONFIRMED,0,1,0,0,Transit
K2-237 b,K2-237,2.1805599999999994,0.037,0.0,84.3,18.49485,508.5280000000001,0.44,6257.0,4.24,1.28,1.43,2.372656640606289,314.995,11.602,10.217,0.1185468518649086,0.0011932490554023,1715.6995896702929,58.65380953392651,137.91820036972302,0.0027210613829741,0.179734381081081,CONFIRMED,0,1,0,0,Transit
K2-237 b,K2-237,2.1805333200000003,0.03552,0.03,88.37,16.062469339999996,434.1536040000002,0.577,6180.0,4.353,1.256,1.236,0.3032,314.995,11.602,10.217,0.1191157227863157,0.0010381974778259,1607.9375139869417,58.15402052494029,19.12376590013629,0.0024937860738422,0.1618237871621621,CONFIRMED,1,1,0,0,Transit
K2-237 b,K2-237,2.1805343500000003,0.0369695851949637,4.844039521584298e-07,84.3,3.952528555205605,23.47122490645296,2.8398477360961696,6257.0,4.24,1.28,1.43,2.372656640606289,314.995,11.602,10.217,0.025334610290204,5.50746801528367e-05,1716.4051959140938,27.258036287946968,138.14522378161624,0.0009752624146427,0.1798822482029347,CONFIRMED,0,1,0,0,Transit
K2-237 b,K2-237,2.180533,0.0355392995584292,0.0307453920204145,87.57626801336376,3.952528555205605,23.47122490645296,2.8398477360961696,6257.0,4.24,1.28,1.43,2.372656640606289,314.995,11.602,10.217,0.025334610290204,5.50746801528367e-05,1750.6030363415275,27.258036287946968,149.48833391522766,0.0009375312955036,0.1871216423122415,CONFIRMED,0,1,0,0,Transit
K2-237 b,K2-237,2.1805277130000005,0.0356405302134632,0.0290036838778652,86.63342255768046,16.808853050000003,420.0729493948882,0.5276115268174815,6599.0,4.21017,1.0909989420862127,1.27146,1.363594043892313,314.995,11.602,10.217,0.121174330244107,0.0011564492662624,1738.4625393511994,55.91875760931961,85.4253799294796,0.0025938564228664,0.1659034405713303,CONFIRMED,0,1,0,0,Transit
K2-238 b,K2-238,3.2047072,0.0459768419810121,0.0002340278640697,84.51489876662934,3.952528555205605,23.47122490645296,2.8398477360961696,5342.0,4.704,1.067,0.76,1.2548027678211555,537.963,13.973,12.032,0.0476690693618313,6.606896963039455e-05,957.9636869316888,27.258036287946968,47.23754612190081,0.0012887377907424,0.0768725525224121,CONFIRMED,0,1,0,0,Transit
K2-238 b,K2-238,3.2046909,0.0459882399995481,4.000466514719747e-07,84.5,3.952528555205605,23.47122490645296,2.8398477360961696,5630.0,4.11,1.19,1.59,1.8382914398387404,537.963,13.973,12.032,0.02278521554402,5.9239992097168896e-05,1460.129912714274,27.258036287946968,69.16890851106025,0.0012430197666084,0.1607856117144873,CONFIRMED,0,1,0,0,Transit
K2-238 b,K2-238,3.2046600000000005,0.046,0.0,84.5,14.571699999999996,273.3337999999997,0.56,5630.0,4.11,1.19,1.59,1.8382914398387404,537.963,13.973,12.032,0.0840017524745055,0.0006898784454763,1459.943258083484,48.44575793161604,69.13354666678948,0.0028182202996562,0.1607445065217391,CONFIRMED,1,1,0,0,Transit
K2-239 b,K2-239,5.24,0.0441,0.0418316143446217,88.99,1.1,2.282963378849553,8.71038061495324,3420.0,4.9,0.4,0.36,1e-06,31.0849,14.632,9.971,0.0280069253488135,1.7142144513296098e-05,430.9888129264522,16.114518222718228,4.091786423658232e-05,0.000788411992875,0.0379630204081632,CONFIRMED,1,1,0,0,Transit
